id;source;date;Domain;title;Label;url
1;tribunnews;26-06-06;Pendidikan;Pesantren Capai 42 Ribu, Kemenag: Jumlah Santri Nasional Tak Alami Penurunan Signifikan;0;https://www.tribunnews.com/nasional/7838729/pesantren-capai-42-ribu-kemenag-jumlah-santri-nasional-tak-alami-penurunan-signifikan
2;Tribunnews;26-04-06;Pendidikan;Penyanyi Ary Kirana Soroti Pentingnya Pendidikan Usia Dini;0;https://www.tribunnews.com/seleb/7838151/penyanyi-ary-kirana-soroti-pentingnya-pendidikan-usia-dini
3;Tribunnews;26-05-29;Pendidikan;Kuasa Hukum Sebut Pledoi Nadiem Akan Ungkap Keberhasilan Sistem Pendidikan;0;https://www.tribunnews.com/nasional/7835460/kuasa-hukum-sebut-pledoi-nadiem-akan-ungkap-keberhasilan-sistem-pendidikan
4;Tribunnews;26-05-26;Pendidikan;"Universitas Prasetiya Mulya Perkenalkan ""Prasmul New Look"" di Kampus BSD";0;https://www.tribunnews.com/parapuan/7834529/universitas-prasetiya-mulya-perkenalkan-prasmul-new-look-di-kampus-bsd
5;Tribunnews;26-05-26;Pendidikan;Merdeka Copper Gold Genjot Pendidikan dan Pelatihan SDM di Wilayah Tambang;0;https://www.tribunnews.com/bisnis/7834329/merdeka-copper-gold-genjot-pendidikan-dan-pelatihan-sdm-di-wilayah-tambang
6;Tribunnews;26-05-22;Pendidikan;Reformasi dan Krisis Integritas Pendidikan;0;https://www.tribunnews.com/tribunners/7832790/reformasi-dan-krisis-integritas-pendidikan
7;Tribunnews;26-05-21;Pendidikan;Pakistan Didorong Lakukan Reformasi Pendidikan sebagai Penentu Arah Jangka Panjang;0;https://www.tribunnews.com/internasional/7832419/pakistan-didorong-lakukan-reformasi-pendidikan-sebagai-penentu-arah-jangka-panjang
8;Tribunnews;26-05-19;Pendidikan;Kebangkitan Nasional di Ujung Integritas Pendidikan;0;https://www.tribunnews.com/tribunners/7831562/kebangkitan-nasional-di-ujung-integritas-pendidikan
9;Tribunnews;26-05-19;Pendidikan;Nilai Matematika TKA SMA Hanya Capai 36,10, OPGMN: Proses Pembelajaran Harus Dibenahi;0;https://www.tribunnews.com/nasional/7831248/nilai-matematika-tka-sma-hanya-capai-3610-opgmn-proses-pembelajaran-harus-dibenahi
10;Tribunnews;26-05-16;Pendidikan;Gap Year: Ambil Jeda untuk Peluang Kampus yang Lebih Terbuka;0;https://www.tribunnews.com/pendidikan-go/7830346/gap-year-ambil-jeda-untuk-peluang-kampus-yang-lebih-terbuka
11;Tribunnews;26-05-14;Pendidikan;Unpad Buka Pendaftaran Program Magister Pendidikan Jarak Jauh 2026, Kuliah Full Daring;0;https://www.tribunnews.com/pendidikan/7829770/unpad-buka-pendaftaran-program-magister-pendidikan-jarak-jauh-2026-kuliah-full-daring
12;Tribunnews;26-05-14;Pendidikan;Ambil Magister Teologi, Ferdy Sambo Sudah Kuliah sejak Juli 2024, Tempuh Pendidikan via Daring;0;https://www.tribunnews.com/nasional/7829716/ambil-magister-teologi-ferdy-sambo-sudah-kuliah-sejak-juli-2024-tempuh-pendidikan-via-daring
13;Tribunnews;26-05-14;Pendidikan;AMPG Tegaskan Komitmen Kawal Kebijakan Sekolah Swasta Gratis di Jakarta;0;https://www.tribunnews.com/metropolitan/7829680/ampg-tegaskan-komitmen-kawal-kebijakan-sekolah-swasta-gratis-di-jakarta
14;Tribunnews;26-09-05;Pendidikan;Dukung Pendidikan Inklusif, Anggota Komisi IV DPR Rajiv Salurkan Bantuan untuk Siswa di Lembang;0;https://www.tribunnews.com/nasional/7827522/dukung-pendidikan-inklusif-anggota-komisi-iv-dpr-rajiv-salurkan-bantuan-untuk-siswa-di-lembang
15;Tribunnews;26-09-05;Pendidikan;Perguruan Tinggi Dorong Pemberdayaan Desa, Soroti Pendidikan Islami dan Penguatan UMKM;0;https://www.tribunnews.com/nasional/7827462/perguruan-tinggi-dorong-pemberdayaan-desa-soroti-pendidikan-islami-dan-penguatan-umkm
16;Tribunnews;26-08-05;Pendidikan;Intip Peluang Studi hingga Beasiswa Kuliah di Inggris hingga Irlandia di Pameran Pendidikan;0;https://www.tribunnews.com/pendidikan/7827184/intip-peluang-studi-hingga-beasiswa-kuliah-di-inggris-hingga-irlandia-di-pameran-pendidikan
17;Tribunnews;26-08-05;Pendidikan;Buku Anyar KMB: Masalah & Solusi Lembaga Pendidikan Kita;0;https://www.tribunnews.com/tribunners/7826964/buku-anyar-kmb-masalah-solusi-lembaga-pendidikan-kita
18;Tribunnews;26-07-05;Pendidikan;Kemendikdasmen: 9,4 Juta Siswa Bakal Ikut SPMB 2026, Ditargetkan Semua Dapat Sekolah;0;https://www.tribunnews.com/nasional/7826616/kemendikdasmen-94-juta-siswa-bakal-ikut-spmb-2026-ditargetkan-semua-dapat-sekolah
19;Tribunnews;26-07-05;Pendidikan;Hadapi Krisis Global, Perubahan Institusi Pendidikan Buka Akses Masyarakat Menengah ke Bawah;0;https://www.tribunnews.com/nasional/7826589/hadapi-krisis-global-perubahan-institusi-pendidikan-buka-akses-masyarakat-menengah-ke-bawah
20;Tribunnews;26-06-05;Pendidikan;Sudirman Said: Kampus Harus Jadi Jantung Perubahan-Laboratorium Solusi, Bukan Sekadar Menara Gading;0;https://www.tribunnews.com/pendidikan/7825938/sudirman-said-kampus-harus-jadi-jantung-perubahan-laboratorium-solusi-bukan-sekadar-menara-gading
21;Tribunnews;26-06-05;Pendidikan;GenAI di Perguruan Tinggi: Mahasiswa Butuh Regulasi Diri;0;https://www.tribunnews.com/tribunners/7825909/genai-di-perguruan-tinggi-mahasiswa-butuh-regulasi-diri
22;Tribunnews;26-05-05;Pendidikan;Pendidikan Adaptif dan Kebutuhan Industri;0;https://www.tribunnews.com/tribunners/7825737/pendidikan-adaptif-dan-kebutuhan-industri
23;Tribunnews;26-04-05;Pendidikan;Perkembangan Teknologi, Tantangan dan Peluang Guru sebagai Kreator Konten Edukatif;0;https://www.tribunnews.com/pendidikan/7825244/perkembangan-teknologi-tantangan-dan-peluang-guru-sebagai-kreator-konten-edukatif
24;Tribunnews;26-04-05;Pendidikan;Pendidikan Nasional 2026, PKP Dorong Pembentukan Manusia Berkarakter dan Berdaya Saing Global;0;https://www.tribunnews.com/nasional/7825176/pendidikan-nasional-2026-pkp-dorong-pembentukan-manusia-berkarakter-dan-berdaya-saing-global
25;Tribunnews;26-03-05;Pendidikan;FSGI Sebut Akses Pendidikan Berkualitas Belum Sepenuhnya Dinikmati Semua Anak Bangsa;0;https://www.tribunnews.com/pendidikan/7824531/fsgi-sebut-akses-pendidikan-berkualitas-belum-sepenuhnya-dinikmati-semua-anak-bangsa
26;Tribunnews;26-02-05;Pendidikan;Presiden Prabowo Diminta Fokus Tingkatkan Mutu Pendidikan di Daerah;0;https://www.tribunnews.com/nasional/7824363/presiden-prabowo-diminta-fokus-tingkatkan-mutu-pendidikan-di-daerah
27;Tribunnews;26-02-05;Pendidikan;Mengenal 3 Semboyan Ki Hajar Dewantara yang Menjadi Dasar Pendidikan Nasional dan Artinya;0;https://www.tribunnews.com/nasional/7824357/mengenal-3-semboyan-ki-hajar-dewantara-yang-menjadi-dasar-pendidikan-nasional-dan-artinya
28;Tribunnews;26-01-05;Pendidikan;Perluas Akses Pendidikan, Kemendikdasmen Terapkan PJJ Jenjang SMA di 34 Provinsi;0;https://www.tribunnews.com/pendidikan/7824159/perluas-akses-pendidikan-kemendikdasmen-terapkan-pjj-jenjang-sma-di-34-provinsi
29;Tribunnews;26-04-29;Pendidikan;Kemendikti Wacanakan Tutup Prodi Tak Relevan, Kampus Dorong Kolaborasi Pendidikan dan Industri;0;https://www.tribunnews.com/nasional/7823221/kemendikti-wacanakan-tutup-prodi-tak-relevan-kampus-dorong-kolaborasi-pendidikan-dan-industri
30;Tribunnews;26-04-29;Pendidikan;Prabowo Investasi Besar-besaran di Bidang Pendidikan demi Masa Depan Bangsa: Sekolah Sangat Penting;0;https://www.tribunnews.com/nasional/7822950/prabowo-investasi-besar-besaran-di-bidang-pendidikan-demi-masa-depan-bangsa-sekolah-sangat-penting
31;Tribunnews;26-04-28;Pendidikan;Sidang MK: Program Makan Bergizi Gratis Dinilai Sah dan Dukung Pendidikan Nasional;0;https://www.tribunnews.com/nasional/7822730/sidang-mk-program-makan-bergizi-gratis-dinilai-sah-dan-dukung-pendidikan-nasional
32;Tribunnews;26-04-28;Pendidikan;Dapat Dukungan Mendiktisaintek, 176 Ribu Mahasiswa Ikuti Program Penggerak Perubahan;0;https://www.tribunnews.com/bisnis/7822589/dapat-dukungan-mendiktisaintek-176-ribu-mahasiswa-ikuti-program-penggerak-perubahan
33;Tribunnews;26-04-25;Pendidikan;Mewujudkan Pendidikan Bermutu untuk Semua;0;https://www.tribunnews.com/pendidikan-go/7821424/mewujudkan-pendidikan-bermutu-untuk-semua
34;Tribunnews;26-04-23;Pendidikan;Jawaban Modul 6.15 Beda Is Not Bad - Bagian 5, Pelatihan Kurikulum Berbasis Cinta, PINTAR Kemenag;0;https://www.tribunnews.com/pendidikan/7820696/jawaban-modul-615-beda-is-not-bad-bagian-5-pelatihan-kurikulum-berbasis-cinta-pintar-kemenag
35;Tribunnews;26-04-23;Pendidikan;Gubernur Lemhannas Ace Hasan Tiba di Gedung KPK, Antar Peserta Pendidikan Antikorupsi;0;https://www.tribunnews.com/nasional/7820376/gubernur-lemhannas-ace-hasan-tiba-di-gedung-kpk-antar-peserta-pendidikan-antikorupsi
36;Tribunnews;26-04-23;Pendidikan;Universitas Tarakanita Gelar Wisuda 2026, Cetak Lulusan Berintegritas dan Berdampak;0;https://www.tribunnews.com/adv/7820374/universitas-tarakanita-gelar-wisuda-2026-cetak-lulusan-berintegritas-dan-berdampak
